claim_number,age_of_driver,sex,marital_status,safety_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,police_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
4564,34,M,1,78,91320,1,0,Rent,80040,2019-07-17,Wednesday,Local,1,0,6,Online,1,5037.65,10,Medium,121678.31,other,2545,0
4565,54,F,1,73,114465,0,1,Own,80012,2019-02-26,Tuesday,Highway,0,0,51,Broker,0,5352.38,3,Large,23994.42,other,4113,0
4566,42,F,1,78,101845,1,1,Own,15054,2019-07-15,Monday,Local,0,0,0,Broker,1,3583.93,5,Medium,16525.89,blue,2446,0
4567,31,M,1,70,86605,1,0,Own,20111,2019-08-14,Wednesday,Parking Lot,1,0,93,Broker,1,5926.33,5,Medium,19436.52,red,2929,0
4568,72,F,1,55,128880,1,0,Rent,50001,2020-10-22,Thursday,Local,1,0,87,Phone,0,2509.30,8,Medium,33101.16,black,1875,1
4569,34,M,0,49,91180,1,0,Own,20155,2020-03-25,Wednesday,Local,0,0,83,Broker,1,8833.35,8,Large,5560.79,white,4705,0
4570,41,M,0,90,100695,0,0,Own,15025,2020-08-17,Monday,Local,0,0,51,Phone,1,3648.20,4,Compact,13695.31,silver,1407,0
4571,45,F,1,57,105325,1,1,Rent,80019,2020-08-28,Friday,Parking Lot,0,0,7,Broker,0,4381.60,10,Medium,26763.38,silver,2896,0
4572,34,F,1,70,91295,0,0,Rent,80033,2019-07-30,Tuesday,Local,0,0,6,Broker,0,10038.47,7,Large,40763.13,black,3399,0
4573,30,M,0,88,85010,1,0,Own,85053,2019-01-08,Tuesday,Parking Lot,2,0,0,Phone,1,5811.39,7,Medium,,gray,2622,0
4574,37,F,1,73,95535,0,1,Rent,50005,2020-06-20,Saturday,Highway,0,0,50,Broker,0,1923.61,8,Medium,209131.6,silver,2446,0
4575,26,M,1,86,77930,1,0,Rent,15018,2019-04-23,Tuesday,Parking Lot,0,0,16,Phone,0,3899.89,6,Large,11180.29,red,3300,0
4576,51,F,1,95,111640,1,0,Own,50043,2020-08-10,Monday,Local,1,1,69,Broker,0,4500.87,6,Medium,38195.19,white,2817,0
4577,44,M,0,67,104260,0,0,Rent,50021,2019-12-16,Monday,Local,0,0,48,Online,1,4085.20,2,Large,27629.45,silver,3291,0
4578,21,M,1,71,67205,1,0,Rent,85078,2019-01-11,Friday,Parking Lot,0,0,49,Online,1,3794.23,4,Medium,38891.01,other,1718,0
4579,48,F,1,41,108585,1,1,Rent,50051,2019-07-26,Friday,Other,0,0,98,Broker,1,2965.88,2,Large,29050.68,blue,6147,0
4580,39,M,1,53,98180,0,0,Rent,80003,2019-10-24,Thursday,Local,1,0,0,Broker,1,5973.94,9,Medium,27218.75,black,2152,0
4581,46,F,1,90,106370,0,1,Rent,20152,2020-03-20,Friday,Parking Lot,1,1,100,Broker,1,3508.98,1,Medium,44924.86,other,2312,1
4582,46,M,1,92,106460,1,0,Own,85050,2019-02-21,Thursday,Local,0,0,52,Broker,1,2279.18,8,Medium,25871.18,blue,2461,0
4583,54,F,1,75,114465,0,0,Own,85041,2018-12-13,Thursday,Local,0,0,5,Phone,0,6082.88,6,Medium,25603.09,black,1780,0
4584,53,M,1,80,113490,1,1,Rent,15007,2020-08-14,Friday,Parking Lot,1,0,71,Broker,1,4587.97,7,Medium,46323.36,red,1751,1
4585,25,F,0,87,75890,0,1,Rent,50044,2019-10-26,Saturday,Parking Lot,0,1,0,Online,0,8343.52,2,Medium,9158.99,blue,1788,0
4586,32,F,1,87,88305,1,1,Own,15001,2019-12-22,Sunday,Parking Lot,0,0,97,Broker,1,6477.90,11,Large,15376.79,other,3404,0
4587,33,F,1,88,89770,1,1,Rent,50002,2019-06-10,Monday,Local,0,0,6,Broker,1,7559.77,6,Compact,27902.52,silver,1349,0
4588,31,M,1,74,86680,1,1,Own,20105,2020-01-23,Thursday,Parking Lot,0,0,55,Broker,1,4136.57,5,Compact,25223.82,silver,1415,0
4589,46,F,1,68,106505,1,1,Own,20128,2020-03-04,Wednesday,Local,0,0,49,Broker,1,7009.15,10,Medium,19659.1,black,2584,0
4590,63,M,1,73,122165,1,1,Own,50039,2020-04-10,Friday,Local,0,1,18,Online,1,3540.64,5,Medium,34565.72,gray,2383,0
4591,25,F,1,74,75930,0,0,Rent,20129,2019-10-19,Saturday,Local,0,0,50,Online,0,7286.79,4,Large,10941.37,blue,3155,0
4592,25,M,1,72,75860,0,1,Rent,80027,2019-08-02,Friday,Highway,0,0,24,Online,1,4178.46,4,Medium,13686.63,blue,2787,0
4593,54,M,1,77,114480,0,1,Own,80023,2020-08-28,Friday,Parking Lot,0,0,1,Broker,1,2820.42,7,Medium,11725.3,other,2166,1
4594,53,M,1,60,113510,1,0,Rent,80010,2020-02-11,Tuesday,Highway,2,0,19,Phone,1,5369.85,5,Medium,47376.17,blue,2734,0
4595,34,M,0,62,91365,0,0,Own,80011,2020-04-10,Friday,Local,1,0,4,Broker,1,6713.06,12,Medium,17044.91,silver,2786,0
4596,44,F,1,64,104130,1,1,Rent,20119,2019-10-21,Monday,Parking Lot,1,0,2,Phone,1,9803.62,6,Medium,36622.05,black,1921,0
4597,60,M,0,85,119730,0,0,Rent,85060,2020-09-15,Tuesday,Local,0,1,77,Broker,1,2320.42,5,Medium,9492.61,silver,1576,0
4598,52,M,0,90,112530,1,0,Own,85065,2019-06-14,Friday,Local,0,0,67,Broker,0,7090.45,3,Medium,26332.31,gray,2041,0
4599,51,M,0,82,111540,1,1,Own,50051,2019-11-29,Friday,Parking Lot,0,0,48,Phone,0,2479.53,4,Large,18826.73,silver,4850,1
4600,49,F,1,70,109600,1,1,Rent,85066,2019-12-30,Monday,Parking Lot,0,0,50,Broker,1,3708.68,4,Large,12682.57,white,3399,0
4601,43,F,0,85,103045,0,1,Rent,20151,2019-10-27,Sunday,Local,0,1,4,Phone,1,2109.71,3,Medium,21749.07,black,2811,0
4602,47,M,1,87,107555,1,1,Rent,15019,2019-12-17,Tuesday,Local,0,1,100,Broker,1,3683.03,1,Large,19828.04,other,4846,0
4603,43,M,1,51,103055,1,1,Own,15010,2020-08-18,Tuesday,Local,0,0,86,Phone,1,2937.14,2,Medium,8235.72,white,1520,0
4604,81,F,0,91,134700,0,1,Own,50011,2020-02-11,Tuesday,Local,0,1,98,Broker,1,8001.60,1,Large,9474.69,blue,3616,0
4605,60,M,1,76,2197800,1,0,Rent,20132,2020-01-17,Friday,Local,0,0,50,Broker,1,4887.56,3,Medium,115842.08,blue,2001,0
4606,39,F,1,27,98160,1,1,Own,20152,2020-09-23,Wednesday,Local,0,1,49,Phone,0,3425.07,8,Medium,8727.44,other,2857,0
4607,31,F,0,64,86585,0,0,Own,80035,2019-01-28,Monday,Local,0,0,50,Phone,1,7445.53,5,Compact,21428.08,black,1146,0
4608,35,F,1,55,92765,1,0,Own,15021,2019-04-14,Sunday,Local,0,0,71,Broker,1,3845.86,2,Medium,13609.88,gray,1518,0
4609,53,M,1,87,113565,1,0,Own,50005,2019-03-10,Sunday,Local,0,0,91,Phone,1,6437.99,2,Medium,12833.62,gray,2728,0
4610,49,F,0,51,2096400,0,1,Own,80003,2020-01-27,Monday,Local,0,0,76,Phone,1,6230.46,3,Large,10042.92,black,3213,0
4611,22,F,1,78,69550,1,0,Own,15009,2020-04-28,Tuesday,Local,0,0,70,Online,1,5135.95,5,Compact,21908.98,white,1363,0
4612,45,M,1,87,105320,1,1,Own,50021,2019-08-24,Saturday,Local,1,1,96,Online,0,6707.63,6,Large,22398.73,black,3967,0
4613,69,F,0,76,126710,0,1,Own,50031,2018-12-27,Thursday,Local,1,1,77,Broker,1,4391.95,5,Medium,20647.7,other,2054,0
4614,32,M,0,64,88305,1,1,Own,85075,2020-04-30,Thursday,Parking Lot,0,0,92,Broker,0,4418.69,4,Large,21720.33,black,3525,0
4615,46,M,1,26,106470,1,1,Own,20151,2020-09-08,Tuesday,Parking Lot,1,1,75,Broker,1,5997.48,5,Compact,35701.34,silver,1497,0
4616,36,F,1,87,94125,0,0,Own,85031,2020-08-03,Monday,Highway,0,0,85,Broker,1,4126.78,12,Medium,27003.98,silver,1582,0
4617,67,M,1,83,1,0,0,Rent,85014,2019-01-23,Wednesday,Parking Lot,2,1,95,Broker,1,2623.35,10,Medium,51452.18,other,2793,1
4618,43,F,0,83,102990,1,1,Rent,20165,2020-02-21,Friday,Local,0,1,87,Broker,0,8218.14,4,Medium,22916.84,white,2803,0
4619,47,M,1,66,107490,0,1,Own,80033,2020-04-27,Monday,Local,0,1,50,Broker,0,4498.14,7,Medium,13115.17,red,2961,0
4620,50,M,0,67,110640,1,0,Rent,85017,2019-08-10,Saturday,Parking Lot,5,0,51,Broker,1,5976.64,6,Compact,17787.71,red,1339,0
4621,43,F,1,88,103070,0,1,Own,,2018-12-09,Sunday,Local,0,1,99,Broker,1,6319.19,0,Medium,,blue,1731,0
4622,73,F,1,75,129570,1,1,Own,20129,2020-05-07,Thursday,Local,3,0,51,Online,1,2316.10,4,Large,36524.85,black,3050,1
4623,28,M,1,75,81575,1,0,Rent,80022,2020-02-12,Wednesday,Highway,0,0,51,Online,1,8649.69,3,Compact,5114.84,blue,1327,0
4624,44,F,1,74,104200,1,0,Rent,80021,2019-02-18,Monday,Highway,0,0,48,Broker,0,4560.59,4,Medium,21517.66,red,2523,0
4625,126,M,1,89,77915,1,0,Rent,80003,2019-01-30,Wednesday,Highway,1,1,14,Broker,1,8373.61,10,Medium,20657.91,gray,2608,0
4626,48,M,1,77,108425,1,0,Own,80012,2019-07-17,Wednesday,Local,0,0,4,Broker,0,2875.94,5,Large,32798.11,blue,6169,0
4627,28,M,0,61,81500,0,0,Rent,50007,2020-08-06,Thursday,Highway,3,0,79,Phone,1,5687.30,2,Medium,28672.08,blue,2708,0
4628,29,M,0,71,83320,1,0,Rent,85014,2020-05-26,Tuesday,Highway,0,0,88,Online,0,4876.77,4,Large,13130.9,red,4071,0
4629,37,M,1,68,95520,1,1,Rent,15022,2020-03-12,Thursday,Highway,0,1,100,Broker,0,6119.16,5,Compact,23085.49,white,1485,0
4630,56,M,,81,116165,0,1,Own,,2019-03-01,Friday,Highway,0,1,28,Phone,0,5107.34,5,Medium,,red,2031,0
4631,46,F,1,85,106465,1,0,Own,15032,2019-07-03,Wednesday,Highway,0,0,3,Phone,1,4291.37,4,Medium,14741,red,1849,0
4632,60,F,1,74,119730,0,1,Own,15025,2019-07-17,Wednesday,Local,1,0,0,Broker,0,2789.88,5,Medium,21192.75,white,2568,1
4633,28,M,1,90,81630,1,1,Rent,80040,2020-05-24,Sunday,Parking Lot,0,0,3,Online,1,8277.86,3,Compact,15781,blue,1108,0
4634,54,M,1,72,114355,1,0,Own,20147,2019-01-04,Friday,Parking Lot,1,1,100,Broker,1,2736.56,6,Medium,11063.69,silver,2048,1
4635,30,F,1,66,85140,0,1,Rent,,2020-07-25,Saturday,Local,0,0,34,Broker,0,8751.03,3,Large,4361.07,blue,3780,0
4636,31,M,1,52,86750,1,1,Rent,20110,2019-12-06,Friday,Local,0,1,99,Online,0,2765.17,3,Medium,21958.54,black,2311,0
4637,32,F,0,75,88330,1,0,Rent,85021,2020-11-22,Sunday,Local,5,0,50,Broker,1,3448.77,4,Large,19087.07,blue,3932,1
4638,28,M,1,50,81570,1,1,Own,20103,2019-07-08,Monday,Highway,0,0,77,Online,1,6296.78,4,Compact,8636.28,other,1313,0
4639,61,M,1,55,120525,1,1,Rent,50041,2020-10-04,Sunday,Local,0,0,18,Broker,0,2129.15,3,Large,31937.14,blue,3806,0
4640,64,F,1,81,122930,1,1,Rent,50036,2019-10-20,Sunday,Local,0,1,50,Broker,1,10659.89,5,Medium,15414.24,white,1586,0
4641,45,F,,60,105290,1,0,Own,15021,2020-05-08,Friday,Local,1,1,67,Phone,1,5892.89,4,Medium,10779.12,gray,1792,0
4642,32,F,0,39,88210,1,1,Own,50047,2019-11-28,Thursday,Local,2,0,74,Broker,1,3305.26,5,Medium,19947.04,red,2618,1
4643,43,F,1,73,103065,0,1,Own,50029,2020-11-04,Wednesday,Parking Lot,0,0,56,Broker,0,4950.56,5,Medium,20029.69,blue,2322,0
4644,45,F,1,68,105390,0,0,Rent,50013,2020-01-30,Thursday,Local,0,1,100,Broker,0,2922.13,3,Medium,27822.24,silver,2671,0
4645,58,F,1,85,118110,1,1,Own,80011,2019-02-03,Sunday,Local,0,0,2,Broker,1,3508.88,5,Medium,20798.2,black,2017,0
4646,56,F,1,84,116355,1,0,Rent,20144,2019-02-13,Wednesday,Local,0,0,33,Broker,0,3291.82,7,Large,14811.68,black,3146,0
4647,61,F,0,72,120505,1,0,Rent,20116,2020-01-16,Thursday,Local,0,0,64,Broker,0,1969.11,1,Large,14259.91,black,3083,0
4648,38,F,0,90,96910,1,1,Rent,15043,2020-03-07,Saturday,Local,0,1,32,Broker,1,3025.70,3,Medium,21225.93,white,2437,0
4649,42,F,1,63,101885,0,1,Rent,50047,2020-05-01,Friday,Highway,1,0,79,Broker,0,2212.66,6,Medium,18873.75,white,1931,1
4650,21,F,1,47,67230,1,0,Rent,80108,2019-05-09,Thursday,Local,0,0,1,Online,0,2883.53,6,Large,16908.23,other,3037,0
4651,76,F,1,60,131635,1,1,Own,15009,2019-01-09,Wednesday,Local,0,0,99,Phone,1,7334.54,9,Large,20262.02,black,3382,0
4652,58,M,1,73,118010,1,1,Own,50039,2020-05-03,Sunday,Parking Lot,0,0,100,Online,1,2863.47,2,Medium,8550.71,other,2167,1
4653,35,M,1,81,92745,1,0,Own,15031,2020-06-12,Friday,Highway,0,0,29,Phone,1,3762.86,2,Medium,8755.02,white,1872,0
4654,42,M,1,81,101915,1,0,Own,15018,2020-10-16,Friday,Parking Lot,0,0,49,Broker,0,5790.51,0,Medium,4905.23,other,1601,0
4655,80,M,1,53,134040,1,1,Own,20110,2019-11-30,Saturday,Local,0,0,12,Phone,1,5912.24,4,Medium,15184.22,black,2031,0
4656,37,F,1,74,95600,1,0,Rent,80023,2020-02-08,Saturday,Highway,0,0,25,Broker,0,3021.36,7,Medium,21354.8,blue,2078,0
4657,49,M,1,72,109640,1,0,Own,80011,2020-01-25,Saturday,Parking Lot,1,0,87,Phone,1,7321.89,5,Large,13299.63,white,3650,0
4658,35,F,0,89,92775,0,1,Own,85038,2019-12-23,Monday,Parking Lot,0,0,97,Broker,0,5796.47,2,Medium,16145.43,white,2607,0
4659,33,F,0,78,89825,1,0,Own,15030,2019-07-29,Monday,Local,0,1,0,Phone,1,6348.82,5,Medium,10625.96,blue,2362,0
4660,22,F,1,93,69595,1,1,Rent,15021,2019-03-10,Sunday,Local,1,1,78,Online,0,7765.78,5,Medium,46990.16,other,2871,0
4661,59,M,1,80,118950,0,0,Rent,15010,2020-05-06,Wednesday,Parking Lot,0,0,97,Broker,0,14545.12,6,Medium,30499.4,silver,2020,0
4662,50,M,1,95,110560,0,1,Own,15001,2019-07-09,Tuesday,Highway,1,0,89,Broker,1,4620.41,6,Medium,9810.6,other,2520,0
4663,49,M,0,85,109585,0,0,Rent,80102,2019-02-28,Thursday,Local,0,0,54,Broker,1,9123.30,4,Medium,43928.92,gray,2389,0
4664,54,M,1,86,114400,1,0,Own,15019,2020-08-05,Wednesday,Local,1,0,50,Phone,0,6607.55,7,Compact,47947.92,blue,1402,0
4665,41,M,1,67,100630,1,1,Own,85029,2019-07-25,Thursday,Parking Lot,0,0,81,Phone,0,6678.98,6,Medium,21303.02,silver,2150,0
4666,48,F,1,35,108535,0,1,Own,85029,2020-06-09,Tuesday,Highway,0,0,17,Broker,1,1291.38,3,Medium,17860.94,black,2055,0
4667,38,M,0,77,96900,0,1,Own,80037,2019-05-03,Friday,Highway,0,0,14,Online,1,15265.63,3,Compact,17136.88,blue,1319,0
4668,31,M,1,45,86790,1,0,Own,15037,2019-10-09,Wednesday,Local,0,0,39,Broker,0,3172.49,4,Compact,16556.06,blue,1495,0
4669,73,M,1,73,129535,1,1,Own,80034,2019-10-15,Tuesday,Highway,0,0,44,Phone,0,4603.11,8,Compact,24448.43,red,1150,0
4670,44,F,0,78,104240,1,0,Own,20152,2020-02-10,Monday,Local,1,0,100,Phone,1,9611.44,5,Medium,22787.61,white,2222,0
4671,28,M,1,51,81665,1,1,Own,80011,2020-09-17,Thursday,Parking Lot,0,1,6,Online,1,5461.32,4,Large,36596.76,blue,3626,0
4672,51,M,1,51,111555,1,1,Own,50043,2020-05-13,Wednesday,Local,0,0,61,Broker,1,7218.85,6,Large,27693.13,white,5311,0
4673,23,M,0,88,71835,1,1,Own,80005,2020-02-16,Sunday,Highway,0,0,27,Online,0,2653.28,6,Compact,15182.76,blue,1135,0
4674,40,M,1,83,99455,0,0,Rent,15006,2020-11-07,Saturday,Local,0,1,76,Broker,1,3035.34,7,Medium,30112.94,other,2808,0
4675,36,M,1,79,94335,0,0,Rent,50034,2019-07-08,Monday,Highway,1,1,50,Broker,1,8009.08,6,Medium,38987.72,black,1742,0
4676,28,M,1,92,81645,0,1,Own,80103,2020-01-24,Friday,Parking Lot,0,0,47,Online,0,7698.67,5,Medium,20605.57,white,2410,0
4677,47,F,1,57,107555,0,1,Own,50001,2019-02-24,Sunday,Local,0,0,78,Broker,1,4468.84,3,Large,24824.12,white,3144,0
4678,56,M,1,98,116215,1,1,Rent,20101,2019-04-29,Monday,Local,0,0,74,Broker,1,3554.81,8,Medium,23384.66,other,2088,0
4679,37,F,1,78,95555,1,0,Own,80041,2019-01-14,Monday,Local,0,0,46,Broker,0,2582.03,3,Large,14468.93,other,3172,0
4680,23,M,1,87,71775,1,1,Rent,20152,2020-03-02,Monday,Parking Lot,1,0,43,Broker,1,2884.03,12,Medium,24020.2,red,2374,1
4681,32,M,1,65,88205,1,1,Own,80021,2020-05-13,Wednesday,Local,1,0,12,Broker,0,9610.57,3,Medium,18516.56,blue,1986,0
4682,42,F,0,76,101930,1,1,Rent,80025,2019-07-08,Monday,Highway,0,1,87,Phone,0,4241.98,4,Medium,36150.06,red,1526,0
4683,39,M,1,92,98285,1,0,Rent,50055,2020-08-11,Tuesday,Local,3,0,50,Broker,1,4946.54,7,Medium,23914.22,other,2326,1
4684,49,F,1,82,109660,1,1,Rent,85080,2019-02-26,Tuesday,Local,0,0,26,Broker,1,2985.04,3,Medium,34962.35,red,1726,0
4685,36,M,1,43,94225,0,0,Own,85079,2018-12-19,Wednesday,Parking Lot,0,1,17,Broker,1,4887.41,10,Large,9168.76,black,4096,0
4686,46,M,1,94,106465,1,0,Own,15004,2020-06-15,Monday,Parking Lot,1,1,74,Broker,1,9616.58,4,Compact,12716.26,other,1263,0
4687,40,F,1,75,99400,1,1,Own,15014,2020-11-23,Monday,Parking Lot,0,0,22,Broker,0,8885.37,5,Medium,23567.51,blue,2226,0
4688,32,F,1,60,88300,1,0,Own,15009,2020-04-04,Saturday,Local,0,0,95,Broker,0,2508.85,2,Large,9812.07,gray,4063,0
4689,55,F,1,74,115350,1,1,Own,50025,2019-12-03,Tuesday,Local,0,0,72,Broker,0,5378.36,4,Medium,6898.82,gray,2406,0
4690,23,M,1,48,71825,1,0,Rent,80002,2020-11-12,Thursday,Parking Lot,0,0,11,Online,1,2640.17,5,Compact,37752.09,white,943,1
4691,34,M,0,72,91320,0,1,Rent,80027,2020-08-02,Sunday,Local,1,0,22,Broker,1,5904.89,1,Large,50884.35,white,3748,0
4692,28,M,1,74,81605,,1,Rent,15033,2020-02-04,Tuesday,Parking Lot,0,0,64,Online,1,9955.31,3,Large,20626.49,silver,3600,0
4693,40,F,0,77,99550,1,1,Own,85027,2019-02-18,Monday,Local,0,0,23,Broker,0,4013.35,2,Compact,13611.23,gray,1279,0
4694,41,F,0,84,100650,1,1,Own,85055,2019-04-19,Friday,Local,0,1,0,Phone,1,4373.23,5,Medium,5998.94,black,1954,0
4695,28,F,0,45,81590,1,1,Rent,50048,2019-08-19,Monday,Local,3,0,32,Phone,1,6740.91,9,Medium,33528.06,black,2265,1
4696,31,F,1,86,86665,1,1,Own,20121,2020-09-28,Monday,Parking Lot,4,0,0,Broker,1,7271.46,5,Large,6387.76,blue,3434,1
4697,31,F,1,81,86690,1,0,Rent,80014,2020-10-19,Monday,Parking Lot,0,0,100,Broker,1,5193.55,7,Medium,11607.93,other,1742,0
4698,61,M,1,88,120575,0,0,Rent,85076,2019-05-03,Friday,Parking Lot,3,0,45,Broker,1,2773.88,3,Large,6812.76,other,3349,1
4699,27,F,1,69,79795,1,1,Rent,85065,2020-07-21,Tuesday,Local,2,1,93,Online,1,5740.32,7,Medium,45972.63,other,2686,0
4700,55,M,1,83,115385,1,0,Rent,80037,2019-11-30,Saturday,Local,1,0,12,Phone,1,9408.09,6,Large,26982.29,gray,3233,0
4701,55,M,1,84,115290,1,1,Own,80002,2020-10-28,Wednesday,Local,0,1,38,Broker,0,5531.57,4,Medium,16757.57,other,2696,0
4702,47,F,1,61,107545,0,1,Own,50005,2019-06-12,Wednesday,Local,0,0,73,Online,1,10219.99,9,Large,28401.49,black,3227,0
4703,39,M,1,93,98145,0,0,Rent,50011,2019-03-17,Sunday,Local,0,0,3,Broker,1,3430.68,3,Large,15657.08,white,4085,0
4704,23,M,1,94,71790,1,1,Rent,15010,2020-06-12,Friday,Local,0,0,9,Online,1,7561.95,2,Medium,68370.46,white,2435,0
4705,37,F,0,83,95475,1,0,Rent,50025,2019-04-29,Monday,Parking Lot,3,0,91,Broker,1,5375.20,6,Large,16104.7,blue,3307,1
4706,31,F,0,97,86725,1,0,Own,20158,2020-01-10,Friday,Parking Lot,2,0,65,Broker,1,6821.87,2,Large,19671.05,other,3431,1
4707,28,F,1,77,81575,1,0,Rent,85034,2019-11-16,Saturday,Highway,1,0,51,Online,1,4587.62,9,Large,18791.1,silver,3361,0
4708,59,F,1,89,118855,1,0,Own,15025,2020-07-18,Saturday,Parking Lot,0,0,7,Phone,1,3973.11,7,Medium,11752.22,silver,2648,0
4709,39,M,1,88,98155,1,0,Rent,20122,2020-06-20,Saturday,Parking Lot,0,0,99,Phone,1,3050.21,4,Medium,22479.96,silver,2412,0
4710,52,M,1,67,112660,1,0,Rent,50055,2019-04-08,Monday,Highway,0,0,33,Broker,1,4223.39,4,Medium,13215.63,other,1751,0
4711,50,M,1,78,110640,1,0,Own,85070,2019-07-04,Thursday,Local,0,0,100,Broker,0,7240.09,4,Medium,6095.12,blue,1529,0
4712,44,F,1,68,104070,1,1,Rent,85016,2020-10-05,Monday,Parking Lot,0,0,10,Phone,0,4572.69,2,Large,25042.05,black,4430,0
4713,35,F,1,59,92695,1,1,Own,50035,2020-10-05,Monday,Highway,1,0,8,Broker,0,7744.52,3,Medium,11235.69,silver,1798,0
4714,49,M,0,55,109675,1,1,Rent,85068,2019-01-06,Sunday,Highway,0,0,9,Phone,0,3382.25,2,Compact,32728.03,blue,1299,0
4715,34,M,0,76,91300,1,0,Own,80005,2019-07-15,Monday,Parking Lot,1,0,56,Phone,1,8086.22,4,Medium,25730.91,blue,2781,0
4716,148,M,1,55,108535,1,0,Own,20129,2020-03-27,Friday,Local,0,0,12,Broker,1,7678.95,6,Large,14569.63,silver,3598,0
4717,57,M,1,88,117190,1,0,Rent,50021,2019-08-22,Thursday,Highway,1,0,68,Broker,1,2632.00,7,Medium,31045.48,other,2945,1
4718,36,M,1,31,94195,1,1,Rent,80018,2020-10-28,Wednesday,Local,4,1,6,Phone,1,5231.76,7,Large,20773.08,blue,5653,1
4719,41,F,1,80,100715,1,1,Own,15022,2019-12-20,Friday,Highway,1,0,0,Phone,1,4530.43,6,Medium,9805.26,gray,2748,0
4720,29,M,1,74,83325,0,1,Rent,20160,2020-11-09,Monday,Local,0,0,4,Online,0,6888.61,4,Medium,20617.67,other,2302,0
4721,48,M,1,80,108590,1,0,Own,85055,2020-09-03,Thursday,Parking Lot,1,0,0,Phone,1,8472.12,3,Medium,27665.73,white,2986,0
4722,66,F,0,81,124330,1,1,Own,85055,2019-10-15,Tuesday,Parking Lot,0,0,91,Broker,1,3463.62,5,Medium,22222.55,other,2806,0
4723,38,M,1,64,96800,1,1,Rent,15057,2020-08-09,Sunday,Highway,1,0,85,Broker,1,4956.82,5,Medium,21016.96,white,1773,0
4724,49,M,1,76,109640,0,1,Own,20103,2019-04-13,Saturday,Local,5,0,87,Phone,1,4628.66,4,Medium,22111.1,black,2112,1
4725,35,F,1,81,92810,1,0,Own,15046,2020-05-30,Saturday,Local,0,1,2,Broker,1,6040.71,2,Medium,15117.46,white,2310,0
4726,32,F,1,49,88335,1,1,Own,20111,2019-08-22,Thursday,Parking Lot,0,0,94,Phone,1,3522.20,5,Medium,11069.45,gray,2821,0
4727,44,F,0,72,104260,1,0,Rent,15010,2019-03-19,Tuesday,Local,1,0,49,Broker,0,5640.79,5,Medium,27736.16,black,2083,0
4728,33,F,1,92,89805,1,0,Own,20115,2019-10-22,Tuesday,Parking Lot,3,0,2,Broker,1,9290.52,5,Medium,22102.33,gray,1932,0
4729,37,M,1,91,95605,1,1,Own,20152,2020-03-03,Tuesday,Local,0,0,98,Broker,1,5019.00,5,Large,14261.2,silver,3720,0
4730,38,M,1,90,96880,1,0,Rent,50002,2019-11-08,Friday,Local,3,0,45,Broker,1,14046.97,4,Large,15253.77,red,3614,0
4731,39,M,1,57,98230,0,0,Own,20124,2019-01-04,Friday,Local,0,0,98,Broker,1,5387.59,2,Large,50949.05,red,4069,0
4732,146,M,1,56,106445,0,0,Own,85072,2019-04-04,Thursday,Local,2,0,40,Online,1,2557.51,4,Medium,22586.82,red,2027,1
4733,69,M,0,47,126700,1,1,Own,15021,2019-10-18,Friday,Local,0,0,70,Phone,1,5262.50,1,Medium,9223.04,silver,1568,0
4734,57,F,1,71,117145,1,1,Rent,85070,2019-10-23,Wednesday,Parking Lot,0,1,87,Online,1,8590.43,7,Medium,19904.33,other,1678,0
4735,34,F,1,93,91350,0,1,Own,20152,2019-07-22,Monday,Local,0,1,69,Broker,1,5282.18,4,Medium,5884.25,silver,2349,0
4736,37,M,1,33,95520,0,1,Own,15012,2019-10-14,Monday,Other,0,0,92,Phone,0,3601.98,4,Large,29644.55,other,4114,0
4737,32,F,1,95,88275,0,0,Own,80030,2019-11-29,Friday,Local,0,0,89,Broker,0,7592.48,2,Compact,10886.68,white,1186,0
4738,29,M,1,71,83445,1,0,Rent,15049,2020-03-23,Monday,Local,0,0,0,Phone,1,2650.03,5,Large,4341.14,other,4770,1
4739,31,M,0,63,86625,1,0,Own,80016,2020-02-18,Tuesday,Parking Lot,0,0,95,Phone,1,4324.67,2,Medium,20251.24,blue,2314,0
4740,36,F,1,94,94210,1,0,Rent,20142,2019-09-02,Monday,Local,0,1,98,Phone,1,5910.37,3,Medium,12426.26,red,2203,0
4741,51,M,1,89,111525,0,1,Own,50021,2019-05-14,Tuesday,Local,0,0,36,Phone,0,3275.37,6,Medium,17272.44,red,1531,0
4742,40,F,1,96,99450,1,1,Rent,80002,2020-03-20,Friday,Local,0,0,91,Phone,0,3911.93,3,Medium,21934.39,silver,2081,0
4743,31,M,0,79,86700,1,0,Own,85055,2020-08-02,Sunday,Highway,1,0,50,Broker,1,2447.00,3,Large,7228.93,red,4950,1
4744,64,F,0,80,122985,1,0,Rent,85034,2020-07-13,Monday,Local,0,1,15,Phone,1,7141.99,1,Medium,32464.52,other,1741,0
4745,28,M,0,65,81570,1,0,Rent,20105,2020-06-21,Sunday,Local,0,0,80,Online,1,6913.81,4,Medium,32411.31,black,1918,0
4746,47,M,1,76,107540,1,1,Own,80033,2019-01-07,Monday,Highway,0,1,65,Broker,0,3800.89,4,Large,39911.14,red,3801,0
